size,repetition,RTT_nton,RTT_ctoc,RTT_stos,BW_nton,BW_ctoc,BW_stos
2^0,1,0.002519425,0.000788639,0.001349466,0.396916036,1.268007406,0.741034108
2^1,1,0.002521858,0.000815183,0.001369688,0.793066155,2.453438185,1.460186048
2^2,1,0.002539413,0.000812448,0.001348863,1.575167317,4.923389748,2.965460986
2^3,1,0.002534764,0.000802073,0.001373794,3.15611262,9.974155931,5.82328967
2^4,1,0.002530586,0.000789761,0.001361934,6.322645583,20.259294033,11.747997104
2^5,1,0.002528208,0.000827655,0.001359222,12.65718769,38.663461005,23.542871764
2^6,1,0.002533177,0.000825381,0.001350143,25.26471228,77.539922008,47.402373431
2^7,1,0.002530365,0.000818644,0.001342663,50.585589884,156.35606756,95.332919651
2^8,1,0.002527455,0.000822905,0.001346075,101.287649292,311.093129172,190.18251859
2^9,1,0.00298994,0.000797398,0.001351582,171.240906694,642.088079757,378.815219017
2^10,1,0.00299247,0.000811881,0.001344959,342.192192827,1261.268853764,761.361250893
2^11,1,0.002997947,0.000798663,0.001350388,683.134153905,2564.286358785,1516.601023079
2^12,1,0.002987854,0.000807196,0.001358668,1370.883457437,5074.353270366,3014.717059049
2^13,1,0.003015811,0.000822728,0.001353864,2716.350680811,9957.118984285,6050.828500867
2^14,1,0.003001286,0.000816384,0.001345129,5458.993590441,20068.979021358,12180.243292397
2^15,1,0.002994859,0.000826376,0.001348376,10941.416489468,39652.628535336,24301.821849881
2^16,1,0.002980866,0.00079733,0.001345954,21985.555815569,82194.282130647,48691.117727539
2^17,1,0.002996711,0.000820235,0.001349368,43738.620609372,159798.074889713,97135.821378522
2^18,1,0.003003103,0.000804309,0.001356039,87291.047809807,325924.418541591,193315.919419212
2^19,1,0.003004132,0.000803101,0.00138082,174522.289848364,652829.418739183,379693.119592728
2^20,1,0.003008155,0.000819115,0.001341373,348577.840634131,1280132.876010069,781718.374488487
2^0,2,0.003079681,0.000795368,0.001337943,0.324708965,1.257280072,0.747416078
2^1,2,0.003096172,0.000828402,0.001336686,0.645958862,2.414287528,1.496237777
2^2,2,0.003078929,0.000793484,0.001334146,1.299152987,5.041060361,2.998172529
2^3,2,0.003088117,0.000797951,0.001344827,2.590575719,10.025682507,5.948720525
2^4,2,0.003087275,0.00082016,0.001359547,5.182563426,19.508386267,11.768628095
2^5,2,0.003084149,0.000811029,0.001339965,10.375632891,39.456029008,23.881225147
2^6,2,0.003099472,0.000820342,0.001362715,20.648677722,78.016287654,46.965049683
2^7,2,0.003095114,0.000819536,0.001344023,41.355498615,156.185953467,95.236472543
2^8,2,0.003096978,0.000816787,0.001344663,82.661226689,313.423049704,190.382340452
2^9,2,0.003536441,0.000790953,0.00135163,144.778324118,647.320016193,378.802011525
2^10,2,0.003548392,0.00081205,0.001336403,288.581396567,1261.00674385,766.23582376
2^11,2,0.00355623,0.000818198,0.001341689,575.890683317,2503.062212734,1526.434000199
2^12,2,0.003558061,0.000821974,0.001355443,1151.188779903,4983.128595654,3021.88992625
2^13,2,0.003549471,0.000818799,0.001370156,2307.94946951,10004.901192077,5978.881247466
2^14,2,0.003544128,0.000820824,0.001351366,4622.857699007,19960.422282839,12124.031865368
2^15,2,0.003566111,0.000826538,0.001350235,9188.721102238,39644.890026518,24268.361264805
2^16,2,0.003535237,0.000806763,0.001348921,18537.93689804,81233.271878384,48583.999469802
2^17,2,0.003539613,0.000799639,0.001370075,37030.03805772,163914.0116898,95667.744328134
2^18,2,0.003547617,0.000822209,0.001358708,73892.989006018,318828.835552446,192936.178516896
2^19,2,0.003552927,0.000793613,0.001344259,147565.088915297,660634.39380797,390020.161900685
2^20,2,0.003556297,0.000802348,0.001364124,294850.501131353,1306883.998792155,768680.743861425
2^0,3,0.003044933,0.000799545,0.001344474,0.328414402,1.250711789,0.743785284
2^1,3,0.003034675,0.000796434,0.001366352,0.65904913,2.51119334,1.463751343
2^2,3,0.00305876,0.000823805,0.001357271,1.307719285,4.85551845,2.947090637
2^3,3,0.003065696,0.0007968,0.001385863,2.609521476,10.040154603,5.772575844
2^4,3,0.003050818,0.000792177,0.001355761,5.244494577,20.197515315,11.80149405
2^5,3,0.003049521,0.000831482,0.001339188,10.493452039,38.485482113,23.895079473
2^6,3,0.003055135,0.00080306,0.001373245,20.94833542,79.695139112,46.604926471
2^7,3,0.003060479,0.000823929,0.001347554,41.823519796,155.353196636,94.986936067
2^8,3,0.00305752,0.000819855,0.001349538,83.727981089,312.250196173,189.694572673
2^9,3,0.003509595,0.000832356,0.001332009,145.885776397,615.121448572,384.381672518
2^10,3,0.003510807,0.000796057,0.001345919,291.670871982,1286.340191764,760.81819286
2^11,3,0.003508437,0.000821784,0.001359445,583.735649798,2492.139197877,1506.49708915
2^12,3,0.003510443,0.000817693,0.001371436,1166.804325244,5009.214797488,2986.650878672
2^13,3,0.003507421,0.000816496,0.001337683,2335.619014066,10033.116030012,6124.020990081
2^14,3,0.003517794,0.00081961,0.001348642,4657.464735252,19989.993796277,12148.51614158
2^15,3,0.003525556,0.000826175,0.00136237,9294.420830576,39662.283565681,24052.197370879
2^16,3,0.003486879,0.000823805,0.001347428,18795.032407964,79552.760325045,48637.842518724
2^17,3,0.003518449,0.000807177,0.001339933,37252.778604307,162383.314020975,97819.850593969
2^18,3,0.003513684,0.000823357,0.001356875,74606.600525324,318384.531301572,193196.872767593
2^19,3,0.003526365,0.000823977,0.001381943,148676.626955116,636289.58137614,379384.677306542
2^20,3,0.003529162,0.000820557,0.001369401,297117.578411213,1277882.860209006,765718.592064236
2^0,4,0.003091496,,,0.323467947,,
2^1,4,0.003086521,,,0.6479788,,
2^2,4,0.003221333,,,1.241721901,,
2^3,4,0.00311609,,,2.567320066,,
2^4,4,0.00308709,,,5.182874874,,
2^5,4,0.003108586,,,10.294070016,,
2^6,4,0.003102984,,,20.625307149,,
2^7,4,0.0033052,,,38.726857673,,
2^8,4,0.003098681,,,82.615806508,,
2^9,4,0.003546059,,,144.385650319,,
2^10,4,0.003548756,,,288.551845061,,
2^11,4,0.003550774,,,576.775617498,,
2^12,4,0.003540423,,,1156.923980298,,
2^13,4,0.003566863,,,2296.696114392,,
2^14,4,0.003565107,,,4595.653883528,,
2^15,4,0.003565875,,,9189.330671222,,
2^16,4,0.003537852,,,18524.233793971,,
2^17,4,0.00355695,,,36849.551742713,,
2^18,4,0.003562341,,,73587.567398258,,
2^19,4,0.003546766,,,147821.41580796,,
2^20,4,0.00354552,,,295746.738338642,,
