size,RTT_nton,RTT_ctoc,RTT_stos,BW_nton,BW_ctoc,BW_stos
2^0,0.0029338837499999996,0.0007945173333333334,0.001343961,0.3433768375,1.2586664223333333,0.74407849
2^1,0.0029348065,0.0008133396666666666,0.0013575753333333336,0.68651323675,2.4596396843333337,1.4733917226666666
2^10,0.00340010625,0.0008066626666666665,0.001342427,302.74907660925,1269.5385964593333,762.805089171
2^11,0.0034033469999999997,0.0008128816666666667,0.0013505073333333333,604.8840261295,2519.8292564653334,1516.5107041426666
2^12,0.0033991952499999997,0.000815621,0.001361849,1211.4501357205002,5022.232221169333,3007.752621323667
2^13,0.0034098915,0.000819341,0.001353901,2414.15381969475,9998.378735458,6051.243579471334
2^14,0.00340707875,0.0008189393333333333,0.001348379,4833.7424770570005,20006.465033491335,12150.930433115
2^15,0.0034131002499999995,0.0008263630000000001,0.0013536603333333334,9653.472273375999,39653.267375845,24207.460161854997
2^16,0.0033852085000000004,0.0008092993333333334,0.0013474343333333336,19460.689728886,80993.43811135866,48637.653238688334
2^17,0.00340293075,0.000809017,0.0013531253333333333,38717.747253528,162031.8002001627,96874.47210020832
2^18,0.00340668625,0.000816625,0.0013572073333333334,77344.55118485175,321045.928465203,193149.65690123368
2^19,0.0034075475,0.000806897,0.0013690073333333334,154646.35538168426,649917.797974431,383032.65293331834
2^2,0.00297460875,0.0008099123333333334,0.00134676,1.3559403725,4.939989519666667,2.970241384
2^20,0.0034097835,0.0008140066666666667,0.0013582993333333335,309073.16462883475,1288299.9116704098,772039.2368047159
2^3,0.00295116675,0.0007989413333333333,0.0013681613333333335,2.73088247025,10.013331013666667,5.848195346333334
2^4,0.00293894225,0.0008006993333333334,0.0013590806666666667,5.483144615,19.988398538333332,11.772706416333333
2^5,0.002942616,0.0008233886666666667,0.001346125,10.955085659,38.868324042000005,23.773058794666667
2^6,0.002947692,0.000816261,0.0013620343333333336,21.871758142750004,78.41711625800001,46.990783195
2^7,0.0029977895,0.000820703,0.0013447466666666665,43.122866492,155.96507255433335,95.18544275366666
2^8,0.0029451584999999995,0.000819849,0.0013467586666666665,87.5731658945,312.25545834966664,190.08647723833334
2^9,0.00339550875,0.0008069023333333334,0.0013450736666666668,151.572664382,634.8431815073333,380.66630102
